Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,40,9.50,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982853224
Palladium(II) acetate,40,8.37,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,10,0.982853224
Palladium(II) acetate,40,9.79,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,10,0.982853224
Palladium(II) acetate,40,12.81,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,10,0.982853224
Palladium(II) acetate,40,10.03,2-methyltetrahydrofuran,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.983355526
Palladium(II) acetate,40,8.56,2-methyltetrahydrofuran,Potassium bicarbonate,Thiosalicylic Acid,5,0.983355526
Palladium(II) acetate,40,9.96,2-methyltetrahydrofuran,Potassium carbonate,Thiosalicylic Acid,5,0.983355526
Palladium(II) acetate,40,12.58,2-methyltetrahydrofuran,Potassium hydroxide,Thiosalicylic Acid,5,0.983355526
Palladium(II) acetate,40,10.03,Toluene,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982431483
Palladium(II) acetate,40,8.56,Toluene,Potassium bicarbonate,Thiosalicylic Acid,5,0.982431483
Palladium(II) acetate,40,9.96,Toluene,Potassium carbonate,Thiosalicylic Acid,5,0.982431483
Palladium(II) acetate,40,12.58,Toluene,Potassium hydroxide,Thiosalicylic Acid,5,0.982431483
Palladium(II) acetate,40,10.03,Ethyl acetate,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982517483
Palladium(II) acetate,40,8.56,Ethyl acetate,Potassium bicarbonate,Thiosalicylic Acid,5,0.982517483
Palladium(II) acetate,40,9.96,Ethyl acetate,Potassium carbonate,Thiosalicylic Acid,5,0.982517483
Palladium(II) acetate,40,12.58,Ethyl acetate,Potassium hydroxide,Thiosalicylic Acid,5,0.982517483
Palladium(II) acetate,40,10.03,Methyl isobutyl ketone,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.983128058
Palladium(II) acetate,40,8.56,Methyl isobutyl ketone,Potassium bicarbonate,Thiosalicylic Acid,5,0.983128058
Palladium(II) acetate,40,9.96,Methyl isobutyl ketone,Potassium carbonate,Thiosalicylic Acid,5,0.983128058
Palladium(II) acetate,40,12.58,Methyl isobutyl ketone,Potassium hydroxide,Thiosalicylic Acid,5,0.983128058
Palladium(II) acetate,40,10.03,Cyclopentyl methyl ether,Potassium phosphate tribasic,Thiosalicylic Acid,5,0.982853224
Palladium(II) acetate,40,8.56,Cyclopentyl methyl ether,Potassium bicarbonate,Thiosalicylic Acid,5,0.982853224
Palladium(II) acetate,40,9.96,Cyclopentyl methyl ether,Potassium carbonate,Thiosalicylic Acid,5,0.982853224
Palladium(II) acetate,40,12.58,Cyclopentyl methyl ether,Potassium hydroxide,Thiosalicylic Acid,5,0.982853224
Palladium(II) acetate,40,6.82,2-methyltetrahydrofuran,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.983355526
Palladium(II) acetate,40,8.75,2-methyltetrahydrofuran,Potassium bicarbonate,Thiosalicylic Acid,10,0.983355526
Palladium(II) acetate,40,9.95,2-methyltetrahydrofuran,Potassium carbonate,Thiosalicylic Acid,10,0.983355526
Palladium(II) acetate,40,12.70,2-methyltetrahydrofuran,Potassium hydroxide,Thiosalicylic Acid,10,0.983355526
Palladium(II) acetate,40,6.82,Toluene,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982431483
Palladium(II) acetate,40,8.75,Toluene,Potassium bicarbonate,Thiosalicylic Acid,10,0.982431483
Palladium(II) acetate,40,9.95,Toluene,Potassium carbonate,Thiosalicylic Acid,10,0.982431483
Palladium(II) acetate,40,12.70,Toluene,Potassium hydroxide,Thiosalicylic Acid,10,0.982431483
Palladium(II) acetate,40,6.82,Ethyl acetate,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982517483
Palladium(II) acetate,40,8.75,Ethyl acetate,Potassium bicarbonate,Thiosalicylic Acid,10,0.982517483
Palladium(II) acetate,40,9.95,Ethyl acetate,Potassium carbonate,Thiosalicylic Acid,10,0.982517483
Palladium(II) acetate,40,12.70,Ethyl acetate,Potassium hydroxide,Thiosalicylic Acid,10,0.982517483
Palladium(II) acetate,40,6.82,Methyl isobutyl ketone,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.983128058
Palladium(II) acetate,40,8.75,Methyl isobutyl ketone,Potassium bicarbonate,Thiosalicylic Acid,10,0.983128058
Palladium(II) acetate,40,9.95,Methyl isobutyl ketone,Potassium carbonate,Thiosalicylic Acid,10,0.983128058
Palladium(II) acetate,40,12.70,Methyl isobutyl ketone,Potassium hydroxide,Thiosalicylic Acid,10,0.983128058
Palladium(II) acetate,40,6.82,Cyclopentyl methyl ether,Potassium phosphate tribasic,Thiosalicylic Acid,10,0.982853224
Palladium(II) acetate,40,8.75,Cyclopentyl methyl ether,Potassium bicarbonate,Thiosalicylic Acid,10,0.982853224
Palladium(II) acetate,40,9.95,Cyclopentyl methyl ether,Potassium carbonate,Thiosalicylic Acid,10,0.982853224
Palladium(II) acetate,40,12.70,Cyclopentyl methyl ether,Potassium hydroxide,Thiosalicylic Acid,10,0.982853224
